id,market_and_exchange_names,report_date_as_yyyy_mm_dd,yyyy_report_week_ww,contract_market_name,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_commodity_code,commodity_name,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,swap__positions_spread_all,m_money_positions_long_all,m_money_positions_short_all,m_money_positions_spread,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,tot_rept_positions_long_all,tot_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_old,prod_merc_positions_long_1,prod_merc_positions_short_1,swap_positions_long_old,swap__positions_short_old,swap__positions_spread_old,m_money_positions_long_old,m_money_positions_short_old,m_money_positions_spread_1,other_rept_positions_long_1,other_rept_positions_short_1,other_rept_positions_spread_1,tot_rept_positions_long_old,tot_rept_positions_short_1,nonrept_positions_long_old,nonrept_positions_short_old,open_interest_other,prod_merc_positions_long_2,prod_merc_positions_short_2,swap_positions_long_other,swap__positions_short_other,swap__positions_spread_other,m_money_positions_long_other,m_money_positions_short_other,m_money_positions_spread_2,other_rept_positions_long_2,other_rept_positions_short_2,other_rept_positions_spread_2,tot_rept_positions_long_other,tot_rept_positions_short_2,nonrept_positions_long_other,nonrept_positions_short_other,change_in_open_interest_all,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,change_in_nonrept_long_all,change_in_nonrept_short_all,pct_of_open_interest_all,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_short,pct_of_oi_swap_long_all,pct_of_oi_swap_short_all,pct_of_oi_swap_spread_all,pct_of_oi_m_money_long_all,pct_of_oi_m_money_short_all,pct_of_oi_m_money_spread,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_open_interest_old,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_short_1,pct_of_oi_swap_long_old,pct_of_oi_swap_short_old,pct_of_oi_swap_spread_old,pct_of_oi_m_money_long_old,pct_of_oi_m_money_short_old,pct_of_oi_m_money_spread_1,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_spread_1,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_short_1,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_short_old,pct_of_open_interest_other,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_other,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_other,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread_2,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread_2,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short_2,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_other,traders_tot_all,traders_prod_merc_short_all,traders_swap_short_all,traders_swap_spread_all,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_rept_long_all,traders_tot_rept_short_all,traders_tot_old,traders_prod_merc_short_old,traders_swap_short_old,traders_swap_spread_old,traders_other_rept_long_old,traders_other_rept_short_1,traders_other_rept_spread_1,traders_tot_rept_long_old,traders_tot_rept_short_old,traders_tot_other,traders_prod_merc_long_other,traders_prod_merc_short_other,traders_swap_long_other,traders_swap_short_other,traders_swap_spread_other,traders_m_money_long_other,traders_m_money_short_other,traders_m_money_spread_other,traders_other_rept_long_other,traders_other_rept_short_2,traders_other_rept_spread_2,traders_tot_rept_long_other,traders_tot_rept_short_other,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_short_1,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_short_1,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_short_old,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_short_old,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_other,contract_units,cftc_subgroup_code,commodity,commodity_subgroup_name,commodity_group_name,futonly_or_combined,traders_prod_merc_long_all,traders_swap_long_all,traders_m_money_long_all,traders_m_money_short_all,traders_m_money_spread_all,traders_prod_merc_long_old,traders_swap_long_old,traders_m_money_long_old,traders_m_money_short_old,traders_m_money_spread_old
250527088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-05-27T00:00:00.000,2025 Report Week 21,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,49066,0,0,0,0,0,1154,512,0,16025,25907,4354,21533,30773,27533,18293,49066,0,0,0,0,0,1154,512,0,16025,25907,4354,21533,30773,27533,18293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,-20,194,-25,-2673,639,2441,-277,3249,333,-3193,100.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,0.0,32.7,52.8,8.9,43.9,62.7,56.1,37.3,100.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,0.0,32.7,52.8,8.9,43.9,62.7,56.1,37.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,0,12,13,8,18,19,29,0,0,0,12,13,8,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,43.1,36.2,55.0,24.6,42.0,29.7,50.1,28.1,43.1,36.2,55.0,24.6,42.0,29.7,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,0,,,0,0,0,,,0
250520088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-05-20T00:00:00.000,2025 Report Week 20,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,49010,0,0,0,0,0,1174,318,25,18698,25268,1913,21810,27524,27201,21486,49010,0,0,0,0,0,1174,318,25,18698,25268,1913,21810,27524,27201,21486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6255,0,0,0,0,0,-436,318,25,4574,3538,502,4665,4383,1590,1872,100.0,0.0,0.0,0.0,0.0,0.0,2.4,0.6,0.1,38.2,51.6,3.9,44.5,56.2,55.5,43.8,100.0,0.0,0.0,0.0,0.0,0.0,2.4,0.6,0.1,38.2,51.6,3.9,44.5,56.2,55.5,43.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,0,14,11,7,20,17,29,0,0,0,14,11,7,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,42.3,34.3,50.9,23.1,41.9,32.6,49.8,23.7,42.3,34.3,50.9,23.1,41.9,32.6,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,0,,,,0,0,,,
250520088691C,GOLD - COMMODITY EXCHANGE INC.,2025-05-20T00:00:00.000,2025 Report Week 20,GOLD,088691,CMX ,NYC,088 ,GOLD,861067,52029,91574,30898,204582,97209,153263,34648,93443,83854,22530,288992,799688,832978,61379,28090,861067,52029,91574,30898,204582,97209,153263,34648,93443,83854,22530,288992,799688,832978,61379,28090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28651,3872,566,-156,9795,2690,5009,-2733,10311,-7150,-3328,11904,26479,29205,2172,-553,100.0,6.0,10.6,3.6,23.8,11.3,17.8,4.0,10.9,9.7,2.6,33.6,92.9,96.7,7.1,3.3,100.0,6.0,10.6,3.6,23.8,11.3,17.8,4.0,10.9,9.7,2.6,33.6,92.9,96.7,7.1,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,19,22,35,114,54,83,322,239,360,19,22,35,114,54,83,322,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,27.1,32.1,40.2,8.1,14.5,12.3,21.5,21.8,27.1,32.1,40.2,8.1,14.5,12.3,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,17,20,103,23,70,17,20,103,23,70
250513088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-05-13T00:00:00.000,2025 Report Week 19,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,42756,0,0,0,0,0,1610,0,0,14124,21730,1411,17145,23141,25611,19614,42756,0,0,0,0,0,1610,0,0,14124,21730,1411,17145,23141,25611,19614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3569,0,0,-632,0,0,-540,-272,-47,-2996,2271,-215,-4430,1736,861,-5305,100.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,33.0,50.8,3.3,40.1,54.1,59.9,45.9,100.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,33.0,50.8,3.3,40.1,54.1,59.9,45.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,15,11,8,23,15,30,0,0,0,15,11,8,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,41.1,26.9,50.1,18.7,39.7,26.9,48.6,18.7,41.1,26.9,50.1,18.7,39.7,26.9,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,0,,0,0,0,0,,0,0
250513088691C,GOLD - COMMODITY EXCHANGE INC.,2025-05-13T00:00:00.000,2025 Report Week 19,GOLD,088691,CMX ,NYC,088 ,GOLD,832416,48157,91008,31054,194787,94519,148255,37381,83132,91004,25858,277088,773209,803773,59207,28643,832416,48157,91008,31054,194787,94519,148255,37381,83132,91004,25858,277088,773209,803773,59207,28643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70379,-2549,-5850,-1186,-2276,-1781,704,2138,-29582,-5221,-1560,-28284,-67899,-67194,-2480,-3186,100.0,5.8,10.9,3.7,23.4,11.4,17.8,4.5,10.0,10.9,3.1,33.3,92.9,96.6,7.1,3.4,100.0,5.8,10.9,3.7,23.4,11.4,17.8,4.5,10.0,10.9,3.1,33.3,92.9,96.6,7.1,3.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,19,22,37,117,59,84,321,246,368,19,22,37,117,59,84,321,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,27.0,31.8,40.2,8.3,14.8,12.5,22.0,21.6,27.0,31.8,40.2,8.3,14.8,12.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,16,21,100,24,66,16,21,100,24,66
250506088691C,GOLD - COMMODITY EXCHANGE INC.,2025-05-06T00:00:00.000,2025 Report Week 18,GOLD,088691,CMX ,NYC,088 ,GOLD,902795,50707,96858,32240,197063,96299,147550,35243,112714,96225,27418,305372,841108,870967,61688,31829,902795,50707,96858,32240,197063,96299,147550,35243,112714,96225,27418,305372,841108,870967,61688,31829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40197,1913,2459,1443,2139,-1319,-7706,-4148,12323,2143,-651,28146,36944,38950,3253,1247,100.0,5.6,10.7,3.6,21.8,10.7,16.3,3.9,12.5,10.7,3.0,33.8,93.2,96.5,6.8,3.5,100.0,5.6,10.7,3.6,21.8,10.7,16.3,3.9,12.5,10.7,3.0,33.8,93.2,96.5,6.8,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381,19,26,41,114,63,84,334,252,381,19,26,41,114,63,84,334,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,27.0,33.5,40.3,7.4,13.7,11.3,20.9,21.9,27.0,33.5,40.3,7.4,13.7,11.3,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,15,24,102,27,69,15,24,102,27,69
250506088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-05-06T00:00:00.000,2025 Report Week 18,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,46325,0,0,632,0,0,2150,272,47,17120,19460,1626,21575,21405,24749,24920,46325,0,0,632,0,0,2150,272,47,17120,19460,1626,21575,21405,24749,24920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448,0,0,236,0,0,88,147,-30,-1010,-1060,280,-436,-663,2884,3112,100.0,0.0,0.0,1.4,0.0,0.0,4.6,0.6,0.1,37.0,42.0,3.5,46.6,46.2,53.4,53.8,100.0,0.0,0.0,1.4,0.0,0.0,4.6,0.6,0.1,37.0,42.0,3.5,46.6,46.2,53.4,53.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,11,12,7,23,15,30,0,0,0,11,12,7,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,32.4,35.6,41.8,25.8,30.3,35.6,39.6,25.8,32.4,35.6,41.8,25.8,30.3,35.6,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,,,,,0,,,,
250429088691C,GOLD - COMMODITY EXCHANGE INC.,2025-04-29T00:00:00.000,2025 Report Week 17,GOLD,088691,CMX ,NYC,088 ,GOLD,862598,48794,94399,30798,194924,97618,155256,39391,100390,94082,28069,277226,804164,832017,58434,30582,862598,48794,94399,30798,194924,97618,155256,39391,100390,94082,28069,277226,804164,832017,58434,30582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-116333,-1285,-2481,-1493,-11690,-12442,-9180,677,-25838,-5218,-1685,-57600,-113055,-111057,-3278,-5277,100.0,5.7,10.9,3.6,22.6,11.3,18.0,4.6,11.6,10.9,3.3,32.1,93.2,96.5,6.8,3.5,100.0,5.7,10.9,3.6,22.6,11.3,18.0,4.6,11.6,10.9,3.3,32.1,93.2,96.5,6.8,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,19,26,34,100,58,77,316,236,362,19,26,34,100,58,77,316,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,26.5,32.8,39.8,7.8,13.5,11.9,21.7,21.3,26.5,32.8,39.8,7.8,13.5,11.9,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,15,20,101,31,68,15,20,101,31,68
250429088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-04-29T00:00:00.000,2025 Report Week 17,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,43876,0,0,396,0,0,2062,125,77,18130,20520,1346,22011,22068,21865,21808,43876,0,0,396,0,0,2062,125,77,18130,20520,1346,22011,22068,21865,21808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2330,0,0,0,0,0,-425,125,77,-1713,2156,-1088,-3149,1270,819,-3600,100.0,0.0,0.0,0.9,0.0,0.0,4.7,0.3,0.2,41.3,46.8,3.1,50.2,50.3,49.8,49.7,100.0,0.0,0.0,0.9,0.0,0.0,4.7,0.3,0.2,41.3,46.8,3.1,50.2,50.3,49.8,49.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0,0,11,13,6,20,16,29,0,0,0,11,13,6,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,36.0,39.6,45.5,29.2,33.8,39.2,43.1,29.7,36.0,39.6,45.5,29.2,33.8,39.2,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,,,,,0,,,,
250422088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-04-22T00:00:00.000,2025 Report Week 16,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,46206,0,0,396,0,0,2487,0,0,19843,18364,2434,25160,20798,21046,25408,46206,0,0,396,0,0,2487,0,0,19843,18364,2434,25160,20798,21046,25408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7247,0,0,0,0,0,775,0,0,4338,2776,257,5370,3033,1877,4214,100.0,0.0,0.0,0.9,0.0,0.0,5.4,0.0,0.0,42.9,39.7,5.3,54.5,45.0,45.5,55.0,100.0,0.0,0.0,0.9,0.0,0.0,5.4,0.0,0.0,42.9,39.7,5.3,54.5,45.0,45.5,55.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,0,15,13,7,25,15,33,0,0,0,15,13,7,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,28.6,39.8,40.9,30.0,25.2,38.5,36.6,30.4,28.6,39.8,40.9,30.0,25.2,38.5,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,,4,0,0,0,,4,0,0
250422088691C,GOLD - COMMODITY EXCHANGE INC.,2025-04-22T00:00:00.000,2025 Report Week 16,GOLD,088691,CMX ,NYC,088 ,GOLD,978932,50079,96879,32291,206614,110060,164436,38714,126228,99300,29753,334826,917219,943074,61713,35858,978932,50079,96879,32291,206614,110060,164436,38714,126228,99300,29753,334826,917219,943074,61713,35858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94003,7873,2665,6902,-13035,22001,-10787,409,20514,-8413,1522,53411,91501,87486,2503,6517,100.0,5.1,9.9,3.3,21.1,11.2,16.8,4.0,12.9,10.1,3.0,34.2,93.7,96.3,6.3,3.7,100.0,5.1,9.9,3.3,21.1,11.2,16.8,4.0,12.9,10.1,3.0,34.2,93.7,96.3,6.3,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,19,27,37,112,60,89,338,250,383,19,27,37,112,60,89,338,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,26.1,33.4,38.7,7.0,12.3,10.9,19.8,21.8,26.1,33.4,38.7,7.0,12.3,10.9,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,16,20,110,29,67,16,20,110,29,67
250415088691C,GOLD - COMMODITY EXCHANGE INC.,2025-04-15T00:00:00.000,2025 Report Week 15,GOLD,088691,CMX ,NYC,088 ,GOLD,884929,42205,94214,25389,219649,88058,175224,38305,105714,107713,28231,281415,825718,855588,59210,29341,884929,42205,94214,25389,219649,88058,175224,38305,105714,107713,28231,281415,825718,855588,59210,29341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109192,5947,6690,-3221,6887,16737,-5810,-4262,22028,19730,4884,52527,107939,105492,1253,3701,100.0,4.8,10.6,2.9,24.8,10.0,19.8,4.3,11.9,12.2,3.2,31.8,93.3,96.7,6.7,3.3,100.0,4.8,10.6,2.9,24.8,10.0,19.8,4.3,11.9,12.2,3.2,31.8,93.3,96.7,6.7,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,20,29,37,99,54,73,320,229,361,20,29,37,99,54,73,320,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,25.8,32.0,38.8,9.3,14.4,13.6,23.0,20.5,25.8,32.0,38.8,9.3,14.4,13.6,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,14,19,110,23,67,14,19,110,23,67
250415088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-04-15T00:00:00.000,2025 Report Week 15,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,38960,0,0,396,0,0,1712,0,0,15505,15588,2177,19790,17765,19170,21195,38960,0,0,396,0,0,1712,0,0,15505,15588,2177,19790,17765,19170,21195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,0,0,396,0,0,-421,0,0,4681,-237,-2440,2216,-2677,-1162,3731,100.0,0.0,0.0,1.0,0.0,0.0,4.4,0.0,0.0,39.8,40.0,5.6,50.8,45.6,49.2,54.4,100.0,0.0,0.0,1.0,0.0,0.0,4.4,0.0,0.0,39.8,40.0,5.6,50.8,45.6,49.2,54.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,0,16,13,5,23,15,33,0,0,0,16,13,5,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,27.8,35.5,40.4,22.6,24.0,34.2,35.9,23.1,27.8,35.5,40.4,22.6,24.0,34.2,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,,,0,0,0,,,0,0
250408088691C,GOLD - COMMODITY EXCHANGE INC.,2025-04-08T00:00:00.000,2025 Report Week 14,GOLD,088691,CMX ,NYC,088 ,GOLD,775736,36258,87524,28610,212762,71321,181033,42568,83686,87983,23347,228888,717779,750096,57957,25640,775736,36258,87524,28610,212762,71321,181033,42568,83686,87983,23347,228888,717779,750096,57957,25640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75700,-835,-10716,5719,-25823,-4746,-35315,2772,-22009,-20002,-10309,2254,-74934,-68577,-766,-7123,100.0,4.7,11.3,3.7,27.4,9.2,23.3,5.5,10.8,11.3,3.0,29.5,92.5,96.7,7.5,3.3,100.0,4.7,11.3,3.7,27.4,9.2,23.3,5.5,10.8,11.3,3.0,29.5,92.5,96.7,7.5,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,18,22,35,106,46,81,321,234,355,18,22,35,106,46,81,321,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,25.1,29.8,38.6,9.7,15.8,14.2,25.7,19.5,25.1,29.8,38.6,9.7,15.8,14.2,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,14,22,110,25,73,14,22,110,25,73
250408088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-04-08T00:00:00.000,2025 Report Week 14,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,37906,0,0,0,0,0,2133,0,0,10824,15825,4617,17574,20442,20332,17464,37906,0,0,0,0,0,2133,0,0,10824,15825,4617,17574,20442,20332,17464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-222,0,0,0,0,0,-133,0,0,-1980,5426,-254,-2367,5172,2145,-5394,100.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,28.6,41.7,12.2,46.4,53.9,53.6,46.1,100.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,28.6,41.7,12.2,46.4,53.9,53.6,46.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,0,14,9,9,23,13,27,0,0,0,14,9,9,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,32.4,33.4,49.3,17.5,28.8,27.2,41.0,22.0,32.4,33.4,49.3,17.5,28.8,27.2,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,0,,0,0,0,0,,0,0
250401088695C,MICRO GOLD - COMMODITY EXCHANGE INC.,2025-04-01T00:00:00.000,2025 Report Week 13,MICRO GOLD,088695,CMX ,NYC,088 ,GOLD,38127,0,0,0,0,0,2266,0,0,12804,10399,4871,19941,15270,18186,22857,38127,0,0,0,0,0,2266,0,0,12804,10399,4871,19941,15270,18186,22857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107,0,0,0,0,0,362,0,0,3135,-5721,-1945,1552,-7666,-1659,7559,100.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,33.6,27.3,12.8,52.3,40.1,47.7,59.9,100.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,33.6,27.3,12.8,52.3,40.1,47.7,59.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,14,11,8,22,16,30,0,0,0,14,11,8,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,24.3,38.8,33.7,21.6,18.6,31.4,25.2,24.5,24.3,38.8,33.7,21.6,18.6,31.4,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 10 TROY OUNCES),N20,GOLD,PRECIOUS METALS,NATURAL RESOURCES,Combined,0,0,4,0,0,0,0,4,0,0
